Data_Flow_ID,Flow_Run_Date,Settlement_Date,Settlement_Run_Type,SAA_Run_Number,CDCA_Run_Number,SVAA_Settlement_Date,SVAA_Run_Number,SSR_Run_Number,BSC_Party_ID,Settlement_Period,System_Buy_Price,System_Sell_Price,Price_Derivation_Code,Total_Demand,Total_Generation,Total_Period_Applicable_Balancing_Services_Volume,Information_Imbalance_Price_1,Information_Imbalance_Price_2,Notional_Reserve_Limit,Total_NIV_Tagged_Volume,Arbitrage_Flag,Continuous_Acceptance_Duration_Limit,De_Minimis_Acceptance_Threshold,Net_Energy_Buy-Price_Cost_Adjustment,Net_Energy_Buy-Price_Volume_Adjustment,Net_System_Buy-Price_Volume_Adjustment,Buy-Price_Price_Adjust,Net_Energy_Sell-Price_Cost_Adjustment,Net_Energy_Sell-Price_Volume_Adjustment,Net_System_Sell-Price_Volume_Adjustment,Sell-Price_Price_Adjust,System_Total_Accepted_Bid_Volume,Total_System_Accepted_Offer_Volume,Total_System_Tagged_Accepted_Bid_Volume,Total_System_Tagged_Accepted_Offer_Volume,Total_System_Repriced_Accepted_Bid_Volume,Total_System_Repriced_Accepted_Offer_Volume,Total_System_Originally-priced_Accepted_Bid_Volume,Total_System_Originally-priced_Accepted_Offer_Volume,Total_System_Adjustment_Sell_Volume,Total_System_Adjustment_Buy_Volume,Total_System_Tagged_Adjustment_Sell_Volume,Total_System_Tagged_Adjustment_Buy_Volume,Total_System_Repriced_Adjustment_Sell_Volume,Total_System_Repriced_Adjustment_Buy_Volume,Total_System_Originally-priced_Adjustment_Sell_Volume,Total_System_Originally-priced_Adjustment_Buy_Volume,Replacement_Price,Replacement_Price_Calculation_Volume,Stor_Availability_Window_Flag,Loss_Of_Load_Probability,De-rated_Margin,Value_Of_Lost_Load,Reserve_Scarcity_Price,GBP-EUR_Exchange_Rate,Balancing_Energy_Deviation_Price,Total_System_RR_Cashflow,RR_Aggregated_Unpriced_System_Buy_Action_Volume,RR_Aggregated_Unpriced_System_Sell_Action_Volume,Period_RR_Accepted_Offer_Volume,Period_RR_Accepted_Bid_Volume,SortKey
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,1,40.07009,40.07009,N,-14642.275,15026.53,-28.119,0,0,,742.164,T,15,1,,,,0,,,,0,-802.542,742.164,-755.276,742.164,-25.344,0,-107.3,0,-75,0,-72.266,0,-2.734,0,0,0,40.05,1,F,0,21466.135,3000,,,,,,,,,2018011301DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,2,37.82562,37.82562,N,-14766.717,15152.105,-24.925,0,0,,754.25,T,15,1,,,,0,,,,0,-883.047,754.25,-833.057,754.25,-0.093,0,-203.693,0,-75,0,-74.99,0,-0.01,0,0,0,37.5,1,F,0,21466.135,3000,,,,,,,,,2018011302DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,3,38.51,38.51,N,-14781.849,15161.229,-13.244,0,0,,720.667,T,15,1,,,,0,,,,0,-963.099,720.668,-915.914,720.668,-112.998,0,-193.423,0,-75,0,-72.185,0,-11.011,0,0,0,38.51,1,F,0,22340.805,3000,,,,,,,,,2018011303DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,4,38.51,38.51,N,-14783.936,15156.829,23.004,0,0,,661.083,T,15,1,,,,0,,,,0,-918.002,661.083,-871.224,661.083,-150.398,0,-166.51,0,-75,0,-71.778,0,-15.01,0,0,0,38.51,1,F,0,23146.758,3000,,,,,,,,,2018011304DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,5,38.51,38.51,N,-14531.119,14896.698,25.996,0,0,,615.484,T,15,1,,,,0,,,,0,-889.829,615.539,-846.166,615.539,-229.906,0,-147.954,0,-150,0,-143.663,0,-46.485,0,0,0,38.51,1,F,0,23577.752,3000,,,,,,,,,2018011305DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,6,35,35,N,-14545.162,14905.395,29.079,0,0,,648.409,T,15,1,,,,0,,,,0,-834.013,648.409,-791.073,648.409,-88.77,0,-224.971,0,-150,0,-142.94,0,-21.863,0,0,0,35,1,F,0,23735.793,3000,,,,,,,,,2018011306DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,7,35,35,N,-14277.412,14632.317,-6.439,0,0,,580.438,T,15,1,,,,0,,,,0,-896.168,580.438,-851.404,580.438,-141.181,0,-289.635,0,-150,0,-144.764,0,-34.915,0,0,0,35,1,F,0,24348.367,3000,,,,,,,,,2018011307DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,8,35,35,N,-13923.942,14272.457,27.542,0,0,,382.783,T,15,1,,,,0,,,,0,-628.562,382.846,-588.136,382.846,-229.597,0,-99.853,0,-150,0,-140.426,0,-65.27,0,0,0,35,1,F,0,25056.355,3000,,,,,,,,,2018011308DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,9,39.76,39.76,N,-13773.078,14110.421,28.567,0,0,,377.583,T,15,1,,,,0,,,,0,-443,377.583,-403.24,377.583,-113.201,0,-58.1,0,-150,0,-139.76,0,-44.116,0,0,0,39.76,1,F,0,25410.896,3000,,,,,,,,,2018011309DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,10,39.76,39.76,N,-13713.834,14048.329,-6.071,0,0,,360.993,T,15,1,,,,0,,,,0,-405.342,360.993,-368.72,360.993,-139.549,0,-2.8,0,-150,0,-136.622,0,-52,0,0,0,39.76,1,F,0,25603.076,3000,,,,,,,,,2018011310DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,11,35.01,35.01,N,-13667.836,14002.003,-10.858,0,0,,419.605,T,15,1,,,,0,,,,0,-442.117,419.605,-404.637,419.605,-102.558,0,-32.406,0,-150,0,-137.479,0,-37.548,0,0,0,35.01,1,F,0,25050.248,3000,,,,,,,,,2018011311DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,12,35.01,35.01,N,-13789.56,14117.796,-17.869,0,0,,396.125,T,15,1,,,,0,,,,0,-438.134,396.125,-400.845,396.125,-110.016,0,-40.492,0,-150,0,-137.289,0,-41.501,0,0,0,35.01,1,F,0,24401.385,3000,,,,,,,,,2018011312DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,13,37.62,37.62,N,-14378.791,14720.015,-13.956,0,0,,630.314,T,15,1,,,,0,,,,0,-507.618,630.564,-487.473,630.564,-20.145,0,0,0,-150,0,-144.033,0,-5.967,0,0,0,37.62,0,F,0,23376.885,3000,,,,,,,,,2018011313DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,14,35.01,35.01,N,-14654.125,14995.481,6.64,0,0,,661.419,T,15,1,,,,0,,,,0,-614.663,662.028,-574.331,662.028,-40.698,0,-50.903,0,-150,0,-140.332,0,-10.844,0,0,0,35.01,1,F,0,21671.256,3000,,,,,,,,,2018011314DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,15,35,35,N,-15035.14,15378.417,-0.88,0,0,,532.83,T,15,1,,,,0,,,,0,-901.991,532.83,-851.991,532.83,0,0,-368.158,0,0,0,0,0,0,0,0,0,,,F,0,20202.791,3000,,,,,,,,,2018011315DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,16,35,35,N,-15650.963,16003.645,-5.589,0,0,,696.036,T,15,1,,,,0,,,,0,-1391.976,696.036,-1341.977,696.036,0,0,-695.941,0,0,0,0,0,0,0,0,0,,,F,0,18813.945,3000,,,,,,,,,2018011316DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,17,39.5,39.5,N,-16609.994,16970.784,1.565,0,0,,545.962,T,15,1,,,,0,,,,0,-1132.91,545.964,-1082.91,545.964,-199.579,0,-386.101,0,0,0,0,0,0,0,0,0,39.5,1,F,0,16555.36,3000,,,,,,,,,2018011317DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,18,39.5,39.5,N,-17584.02,17938.081,-0.951,0,0,,467.242,T,15,1,,,,0,,,,0,-799.151,467.693,-749.151,467.693,-196.125,0,-135.603,0,0,0,0,0,0,0,0,0,39.5,1,F,0,14898.225,3000,,,,,,,,,2018011318DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,19,35,35,N,-18418.999,18764.208,4.819,0,0,,485.85,T,15,1,,,,0,,,,0,-675.903,485.863,-625.903,485.863,-15.198,0,-174.75,0,0,0,0,0,0,0,0,0,35,1,F,0,13562.922,3000,,,,,,,,,2018011319DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,20,35,35,N,-18928.482,19281.048,-3.528,0,0,,472.44,T,15,1,,,,0,,,,0,-620.859,472.441,-570.859,472.441,-15.561,0,-132.558,0,0,0,0,0,0,0,0,0,35,1,F,0,12898.081,3000,,,,,,,,,2018011320DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,21,35,35,N,-19228.875,19592.325,1.918,0,0,,378.476,T,15,1,,,,0,,,,0,-561.028,378.476,-511.028,378.476,-39.877,0,-142.675,0,0,0,0,0,0,0,0,0,35,1,F,0,11432.368,3000,,,,,,,,,2018011321DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,22,35,35,N,-19385.215,19747.607,1.354,0,0,,370.617,T,15,1,,,,0,,,,0,-517,370.637,-467,370.637,-32.383,0,-114,0,0,0,0,0,0,0,0,0,35,1,T,0,11428.269,3000,0,,,,,,,,2018011322DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,23,61.25,61.25,P,-19466.39,19827.092,-0.512,0,0,,494.145,T,15,1,,,,0,,,,0,-494.145,600.383,-494.145,550.383,0,0,0,106.231,0,0,0,0,0,0,0,0,,,T,0,10932.633,3000,0,,,,,,,,2018011323DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,24,61.25,61.25,P,-19542.495,19900.619,-2.354,0,0,,467.161,T,15,1,,,,0,,,,0,-467.178,669.487,-467.178,619.487,0,0,0,202.32,0,172.887,0,172.887,0,0,0,146.566,,,T,0,11436.802,3000,0,,,,,,,,2018011324DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,25,61.25,61.25,P,-19618.765,19979.306,-0.29,0,0,,443.52,T,15,1,,,,0,,,,0,-452.388,652.135,-452.388,602.135,0,0,0,206.972,0,277.5,0,277.5,0,0,0,269.507,,,T,0,10700.818,3000,0,,,,,,,,2018011325DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,26,61.25,61.25,P,-19523.377,19889.623,-0.88,0,0,,380.903,T,15,1,,,,0,,,,0,-380.904,607.581,-380.904,557.581,0,0,0,226.672,0,161.032,0,161.032,0,0,0,137.032,,,T,0,10828.224,3000,0,,,,,,,,2018011326DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,27,61.25,61.25,P,-19565.212,19942.086,-0.449,0,0,,345.845,T,15,1,,,,0,,,,0,-346.378,584.894,-346.378,534.894,0,0,0,239.041,0,0,0,0,0,0,0,0,,,T,0,9677.235,3000,0,,,,,,,,2018011327DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,28,61.25,61.25,P,-19369.776,19767.677,-0.907,0,0,,353.042,T,15,1,,,,0,,,,0,-353.042,418.673,-353.042,368.673,0,0,0,65.632,0,0,0,0,0,0,0,0,,,F,0,9839.142,3000,,,,,,,,,2018011328DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,29,61.25,61.25,P,-19312.722,19700.753,0.565,0,0,,304.704,T,15,1,,,,0,,,,0,-305.637,350,-305.637,304.704,0,0,0,45.296,0,0,0,0,0,0,0,0,,,F,0,10247.017,3000,,,,,,,,,2018011329DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,30,41.6,41.6,N,-19279.943,19662.684,-3.019,0,0,,341.942,T,15,1,,,,0,,,,0,-389.282,341.942,-341.942,341.942,0,0,-47.34,0,0,0,0,0,0,0,0,0,,,F,0,10892.218,3000,,,,,,,,,2018011330DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,31,40.05,40.05,N,-19506.576,19902.98,-1.557,0,0,,242.667,T,15,1,,,,0,,,,0,-593.275,242.667,-543.275,242.667,0,0,-350.608,0,0,0,0,0,0,0,0,0,,,F,0,10515.558,3000,,,,,,,,,2018011331DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,32,40.05,40.05,N,-19788.929,20186.287,-10.509,0,0,,205.1,T,15,1,,,,0,,,,0,-591.724,205.1,-541.724,205.1,0,0,-386.624,0,0,0,0,0,0,0,0,0,,,F,0,10908.412,3000,,,,,,,,,2018011332DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,33,36.977,36.977,N,-20600.807,21009.559,-17.69,0,0,,0,T,15,1,,,,0,,,,0,-306.8,0,-256.8,0,-8.75,0,-298.05,0,0,7.703,0,7.703,0,0,0,0,35,1,T,0,10197.309,3000,0,,,,,,,,2018011333DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,34,90.5934,90.5934,P,-21585.688,22012.506,0.38,0,0,,110.95,T,15,1,,,,0,,,,0,-110.95,134.433,-110.95,110.321,0,0,0,24.113,0,263.17,0,237.283,0,0,0,254.435,,,T,0,8381.037,3000,0,,,,,,,,2018011334DF
S0142009,20200501,20180113,DF,7,19,20180113,19,49742,NGC,35,116.51417,116.51417,P,-22108.036,22564.117,-0.272,0,0,,87.442,T,15,1,,,,0,,,,0,-87.442,284.458,-87.442,234.458,0,0,0,193.51,0,407.95,0,407.95,0,0,0,407.95,,,T,0,6380.4614,3000,0,,,,,,,,2018011335DF
