Data_Flow_ID,Flow_Run_Date,Settlement_Date,Settlement_Run_Type,SAA_Run_Number,CDCA_Run_Number,SVAA_Settlement_Date,SVAA_Run_Number,SSR_Run_Number,BSC_Party_ID,Settlement_Period,System_Buy_Price,System_Sell_Price,Price_Derivation_Code,Total_Demand,Total_Generation,Total_Period_Applicable_Balancing_Services_Volume,Information_Imbalance_Price_1,Information_Imbalance_Price_2,Notional_Reserve_Limit,Total_NIV_Tagged_Volume,Arbitrage_Flag,Continuous_Acceptance_Duration_Limit,De_Minimis_Acceptance_Threshold,Net_Energy_Buy-Price_Cost_Adjustment,Net_Energy_Buy-Price_Volume_Adjustment,Net_System_Buy-Price_Volume_Adjustment,Buy-Price_Price_Adjust,Net_Energy_Sell-Price_Cost_Adjustment,Net_Energy_Sell-Price_Volume_Adjustment,Net_System_Sell-Price_Volume_Adjustment,Sell-Price_Price_Adjust,System_Total_Accepted_Bid_Volume,Total_System_Accepted_Offer_Volume,Total_System_Tagged_Accepted_Bid_Volume,Total_System_Tagged_Accepted_Offer_Volume,Total_System_Repriced_Accepted_Bid_Volume,Total_System_Repriced_Accepted_Offer_Volume,Total_System_Originally-priced_Accepted_Bid_Volume,Total_System_Originally-priced_Accepted_Offer_Volume,Total_System_Adjustment_Sell_Volume,Total_System_Adjustment_Buy_Volume,Total_System_Tagged_Adjustment_Sell_Volume,Total_System_Tagged_Adjustment_Buy_Volume,Total_System_Repriced_Adjustment_Sell_Volume,Total_System_Repriced_Adjustment_Buy_Volume,Total_System_Originally-priced_Adjustment_Sell_Volume,Total_System_Originally-priced_Adjustment_Buy_Volume,Replacement_Price,Replacement_Price_Calculation_Volume,Stor_Availability_Window_Flag,Loss_Of_Load_Probability,De-rated_Margin,Value_Of_Lost_Load,Reserve_Scarcity_Price,GBP-EUR_Exchange_Rate,Balancing_Energy_Deviation_Price,Total_System_RR_Cashflow,RR_Aggregated_Unpriced_System_Buy_Action_Volume,RR_Aggregated_Unpriced_System_Sell_Action_Volume,Period_RR_Accepted_Offer_Volume,Period_RR_Accepted_Bid_Volume,SortKey
S0142009,20200106,20170906,DF,7,19,20170906,19,48840,NGC,1,38.30594,38.30594,N,-11417.614,11685.416,-97.169,0,0,,1198.171,T,15,1,,,,0,,,,0,-796.914,1073.693,-746.914,1073.693,0,0,-53.995,0,-457,125,-457,125,0,0,0,0,,,F,0,19537.484,3000,,,,,,,,,2017090601DF
S0142009,20200106,20170906,DF,7,19,20170906,19,48840,NGC,2,27.17516,27.17516,N,-11339.408,11622.689,-48.567,0,0,,1053.669,T,15,1,,,,0,,,,0,-789.895,929.169,-789.895,929.169,0,0,-7.2,0,-457,125,-407,125,0,0,-185.349,0,,,F,0,20158.184,3000,,,,,,,,,2017090602DF
S0142009,20200106,20170906,DF,7,19,20170906,19,48840,NGC,3,27.14,27.14,N,-11279.693,11552.234,18.206,0,0,,898,T,15,1,,,,0,,,,0,-716.586,773.5,-716.586,773.5,0,0,0,0,-457,125,-407,125,0,0,-274.234,0,,,F,0,20979.498,3000,,,,,,,,,2017090603DF
S0142009,20200106,20170906,DF,7,19,20170906,19,48840,NGC,4,27.26,27.26,N,-11362.135,11641.061,-55.967,0,0,,944.625,T,15,1,,,,0,,,,0,-617.798,820.125,-617.798,820.125,0,0,-18,0,-457,125,-407,125,0,0,-111.928,0,,,F,0,21182.666,3000,,,,,,,,,2017090604DF
S0142009,20200106,20170906,DF,7,19,20170906,19,48840,NGC,5,26.79052,26.79052,N,-11287.102,11557.693,-56.76,0,0,,941.5,T,15,1,,,,0,,,,0,-820.514,817,-820.514,817,0,0,-18,0,-507,125,-457,125,0,0,-368.014,0,,,F,0,21579.979,3000,,,,,,,,,2017090605DF
S0142009,20200106,20170906,DF,7,19,20170906,19,48840,NGC,6,26.17,26.17,N,-11275.695,11553.001,-111.694,0,0,,933.617,T,15,1,,,,0,,,,0,-890.083,809.117,-890.083,809.117,0,0,-32,0,-507,125,-457,125,0,0,-430.475,0,,,F,0,22066.996,3000,,,,,,,,,2017090606DF
S0142009,20200106,20170906,DF,7,19,20170906,19,48840,NGC,7,26.17,26.17,N,-11324.04,11614.711,-37.794,0,0,,902.5,T,15,1,,,,0,,,,0,-859.387,778,-859.387,778,0,0,-23.021,0,-507,125,-457,125,0,0,-440.867,0,,,F,0,21762.467,3000,,,,,,,,,2017090607DF
S0142009,20200106,20170906,DF,7,19,20170906,19,48840,NGC,8,26.17,26.17,N,-11359.796,11655.106,22.892,0,0,,909.058,T,15,1,,,,0,,,,0,-812.82,784.558,-812.82,784.558,0,0,0,0,-507,125,-457,125,0,0,-410.761,0,,,F,0,21829.367,3000,,,,,,,,,2017090608DF
S0142009,20200106,20170906,DF,7,19,20170906,19,48840,NGC,9,26.22448,26.22448,N,-11362.442,11646.259,-13.241,0,0,,932.65,T,15,1,,,,0,,,,0,-822.842,808.15,-822.842,808.15,0,0,0,0,-507,125,-457,125,0,0,-397.192,0,,,F,0,21781.684,3000,,,,,,,,,2017090609DF
S0142009,20200106,20170906,DF,7,19,20170906,19,48840,NGC,10,26.21389,26.21389,N,-11471.525,11747.974,11.365,0,0,,926.738,T,15,1,,,,0,,,,0,-818.418,802.322,-818.418,802.322,0,0,0,0,-507,125,-457,125,0,0,-397.738,0,,,F,0,21659.89,3000,,,,,,,,,2017090610DF
