"Time (CET)","Day-ahead Total Load Forecast [MW] - United Kingdom (UK)","Actual Total Load [MW] - United Kingdom (UK)"
"01.01.2015 00:00 - 01.01.2015 00:30","N/A","N/A"
"01.01.2015 00:30 - 01.01.2015 01:00","N/A","N/A"
"01.01.2015 01:00 - 01.01.2015 01:30","N/A","27995"
"01.01.2015 01:30 - 01.01.2015 02:00","N/A","27607"
"01.01.2015 02:00 - 01.01.2015 02:30","N/A","28358"
"01.01.2015 02:30 - 01.01.2015 03:00","N/A","27538"
"01.01.2015 03:00 - 01.01.2015 03:30","N/A","26063"
"01.01.2015 03:30 - 01.01.2015 04:00","N/A","24357"
"01.01.2015 04:00 - 01.01.2015 04:30","N/A","23842"
"01.01.2015 04:30 - 01.01.2015 05:00","N/A","23544"
"01.01.2015 05:00 - 01.01.2015 05:30","N/A","22326"
"01.01.2015 05:30 - 01.01.2015 06:00","N/A","22626"
"01.01.2015 06:00 - 01.01.2015 06:30","N/A","22347"
"01.01.2015 06:30 - 01.01.2015 07:00","N/A","21236"
"01.01.2015 07:00 - 01.01.2015 07:30","N/A","21229"
"01.01.2015 07:30 - 01.01.2015 08:00","N/A","21638"
"01.01.2015 08:00 - 01.01.2015 08:30","N/A","22046"
"01.01.2015 08:30 - 01.01.2015 09:00","N/A","22958"
"01.01.2015 09:00 - 01.01.2015 09:30","N/A","22969"
"01.01.2015 09:30 - 01.01.2015 10:00","N/A","24600"
"01.01.2015 10:00 - 01.01.2015 10:30","N/A","25751"
"01.01.2015 10:30 - 01.01.2015 11:00","N/A","25996"
"01.01.2015 11:00 - 01.01.2015 11:30","N/A","27602"
"01.01.2015 11:30 - 01.01.2015 12:00","N/A","28261"
"01.01.2015 12:00 - 01.01.2015 12:30","N/A","29325"
"01.01.2015 12:30 - 01.01.2015 13:00","N/A","30398"
"01.01.2015 13:00 - 01.01.2015 13:30","N/A","31752"
"01.01.2015 13:30 - 01.01.2015 14:00","N/A","32536"
"01.01.2015 14:00 - 01.01.2015 14:30","N/A","33096"
"01.01.2015 14:30 - 01.01.2015 15:00","N/A","33344"
"01.01.2015 15:00 - 01.01.2015 15:30","N/A","33212"
"01.01.2015 15:30 - 01.01.2015 16:00","N/A","33246"
"01.01.2015 16:00 - 01.01.2015 16:30","N/A","33369"
"01.01.2015 16:30 - 01.01.2015 17:00","N/A","33683"
"01.01.2015 17:00 - 01.01.2015 17:30","N/A","34344"
"01.01.2015 17:30 - 01.01.2015 18:00","N/A","35935"
"01.01.2015 18:00 - 01.01.2015 18:30","N/A","36984"
"01.01.2015 18:30 - 01.01.2015 19:00","N/A","37329"
"01.01.2015 19:00 - 01.01.2015 19:30","N/A","36960"
