,Index,Mean,Stddev
0,1.0,-8.378181179595495,1.6270357784048104
1,2.0,-8.86868655593958,1.5748185497951812
2,3.0,-9.087702684971841,1.6320208052600724
3,4.0,-9.602423115079365,1.641501387611593
4,5.0,-10.057923115079362,1.7108206008390945
5,6.0,-10.367310211853555,1.6904799301234352
6,7.0,-10.826030641961083,1.7650390109458558
7,8.0,-11.146267201100875,1.778702974794759
8,9.0,-11.285267201100869,1.870521589097347
9,10.0,-11.229277953789044,1.8780571008079354
10,11.0,-10.529901609703018,1.8473275389666093
11,12.0,-9.13750913658474,1.8925501134390894
12,13.0,-5.5621489215309765,2.2129006315935382
13,14.0,-2.62748225486431,2.739663970801956
14,15.0,0.4430500032002058,3.280768496279685
15,16.0,2.2253940892217137,3.465650700718648
16,17.0,3.8644155945980545,3.2303465989921123
17,18.0,4.391265056963646,2.9820419699835434
18,19.0,5.084248927931388,2.6373364428722055
19,20.0,5.521211293522788,2.4678800523674225
20,21.0,5.504490863415259,2.1767216160332192
21,22.0,5.698372583845366,2.1933330227040777
22,23.0,5.90984032578085,2.151939009765851
23,24.0,6.064017745135689,2.1487588401025044
24,25.0,6.252184411802355,2.129777992564401
25,26.0,6.112463981694833,2.0935719749185155
26,27.0,5.791958605350741,2.155832402974572
27,28.0,5.52296398169483,2.1704418843348927
28,29.0,5.3307973150281605,2.2186197794426197
29,30.0,5.046146777393757,2.1896887091239856
30,31.0,4.970189788146438,2.1761132790140088
31,32.0,5.389447852662574,2.253192325357269
32,33.0,6.516125272017407,2.422816563583904
33,34.0,7.323205917178702,2.54357323694737
34,35.0,8.122926347286224,2.6069860196764774
35,36.0,8.167808067716333,2.6117004947506617
36,37.0,8.136415594598056,2.6334598805021945
37,38.0,7.928705917178699,2.70907600301238
38,39.0,7.448894089221708,2.628320074522178
39,40.0,6.691367207501278,2.4217565567005073
40,41.0,5.703076884920635,2.033097348259594
41,42.0,4.580023121479774,1.79997463078193
42,43.0,3.2288672075012834,1.631593866666688
43,44.0,1.5852274225550462,1.6820907985306628
44,45.0,-0.39193924411162767,1.9525593578086247
45,46.0,-2.2782779537890403,1.9485439471301818
46,47.0,-4.2213747279825915,1.854152632384146
47,48.0,-5.850294082821299,1.8379609698142865
48,49.0,-6.986906986047113,1.5475636516652498
49,50.0,-7.528380104326677,1.4839587951386162
50,51.0,-7.826670426907324,1.439512869760465
51,52.0,-8.272568276369688,1.393785258214092
52,53.0,-8.765783330133129,1.461469602801547
53,54.0,-9.079100534434206,1.4510744443667851
54,55.0,-9.516433867767539,1.5618691651004062
55,56.0,-9.793627416154635,1.6158521559203527
56,57.0,-10.042057523681516,1.7088284792531867
57,58.0,-9.971165050563235,1.673792950281481
58,59.0,-9.365654297875068,1.5701065414254929
59,60.0,-8.028960749487968,1.5114884820273173
60,61.0,-4.54082634088582,1.5729817367145122
61,62.0,-1.4835306419610839,1.7399190385773609
62,63.0,1.7912381752432158,2.0338432423566317
63,64.0,3.482636024705583,2.1226772389911064
64,65.0,4.936727422555045,2.0029794949123385
65,66.0,5.268506992447514,1.8943770712665664
66,67.0,5.883695164490528,1.785578642559628
67,68.0,6.156248927931388,1.6934363858308163
68,69.0,5.968743551587305,1.6309794733273868
69,70.0,6.165920970942142,1.623068040451861
70,71.0,6.385646777393753,1.6105164410875061
